text,joy,sadness,anger,love,thankfulness,fear
"She meant the chest of drawers, and Peter jumped at the drawers, scattering their contents to the floor with both hands, as kings toss ha'pence to the crowd.",0.874,0.080,0.339,0.620,0.979,0.046
"In a moment he had recovered his shadow, and in his delight he forgot that he had shut Tinker Bell up in the drawer.",0.177,0.247,0.803,0.895,0.128,0.559
"If he thought at all, but I don't believe he ever thought, it was that he and his shadow, when brought near each other, would join like drops of water, and when they did not he was appalled.",0.385,0.670,0.760,0.933,0.981,0.050
"He tried to stick it on with soap from the bathroom, but that also failed.",0.114,0.353,0.446,0.323,0.223,0.237
"A shudder passed through Peter, and he sat on the floor and cried.",0.916,0.196,0.803,0.379,0.526,0.253
"His sobs woke Wendy, and she sat up in bed.",0.239,0.666,0.102,0.394,0.347,0.097
She was not alarmed to see a stranger crying on the nursery floor; she was only pleasantly interested.,0.677,0.191,0.942,0.401,0.912,0.058
"Boy, she said courteously, why are you crying?",0.391,0.291,0.304,0.302,0.659,0.108
"Peter could be exceeding polite also, having learned the grand manner at fairy ceremonies, and he rose and bowed to her beautifully.",0.011,0.562,0.817,0.394,0.990,0.059
"She was much pleased, and bowed beautifully to him from the bed.",0.046,0.680,0.965,0.104,0.943,0.303
What's your name?,0.587,0.518,0.557,0.507,0.633,0.064
"Wendy Moira Angela Darling, she replied with some satisfaction.",0.132,0.942,0.156,0.018,0.835,0.192
What is your name?,0.510,0.345,0.697,0.826,0.953,0.065
"She was already sure that he must be Peter, but it did seem a comparatively short name.",0.249,0.101,0.873,0.333,0.957,0.158
Is that all?,0.493,0.679,0.711,0.671,0.231,0.417
"Yes, he said rather sharply.",0.414,0.107,0.306,0.688,0.691,0.344
He felt for the first time that it was a shortish name.,0.215,0.433,0.678,0.410,0.729,0.065
"I'm so sorry, said Wendy Moira Angela.",0.096,0.724,0.035,0.196,0.238,0.357
"It doesn't matter, Peter gulped.",0.284,0.375,0.398,0.098,0.797,0.179
She asked where he lived.,0.687,0.605,0.599,0.145,0.117,0.034
Second to the right,0.394,0.094,0.236,0.385,0.076,0.257
", said Peter, and then straight on till morning.",0.823,0.136,0.631,0.251,0.534,0.039
What a funny address!,0.660,0.667,0.412,0.588,0.626,0.120
Peter had a sinking.,0.881,0.043,0.672,0.786,0.097,0.575
For the first time he felt that perhaps it was a funny address.,0.542,0.406,0.723,0.474,0.668,0.123
"No, it isn't, he said.",0.175,0.488,0.120,0.531,0.029,0.121
"I mean, Wendy said nicely, remembering that she was hostess, is that what they put on the letters?",0.431,0.419,0.711,0.782,0.951,0.124
He wished she had not mentioned letters.,0.051,0.256,0.856,0.087,0.496,0.106
"Don't get any letters, he said contemptuously.",0.735,0.122,0.421,0.435,0.250,0.101
But your mother gets letters?,0.224,0.517,0.944,0.257,0.365,0.049
"Don't have a mother, he said.",0.499,0.237,0.090,0.641,0.017,0.391
"Not only had he no mother, but he had not the slightest desire to have one.",0.467,0.808,0.516,0.309,0.029,0.187
He thought them very over-rated persons.,0.553,0.470,0.923,0.232,0.676,0.171
"Wendy, however, felt at once that she was in the presence of a tragedy.",0.116,0.872,0.203,0.808,0.990,0.015
"O Peter, no wonder you were crying, she said, and got out of bed and ran to him.",0.053,0.214,0.457,0.033,0.659,0.081
"I wasn't crying about mothers, he said rather indignantly.",0.160,0.185,0.309,0.801,0.234,0.175
I was crying because I can't get my shadow to stick on.,0.093,0.195,0.970,0.830,0.628,0.211
"Besides, I wasn't crying.",0.292,0.219,0.705,0.791,0.025,0.208
It has come off?,0.478,0.635,0.226,0.657,0.021,0.225
"Then Wendy saw the shadow on the floor, looking so draggled, and she was frightfully sorry for Peter.",0.832,0.638,0.727,0.240,0.781,0.096
"she said, but she could not help smiling when she saw that he had been trying to stick it on with soap.",0.309,0.171,0.284,0.215,0.379,0.167
How exactly like a boy!,0.716,0.304,0.967,0.379,0.963,0.544
Fortunately she knew at once what to do.,0.309,0.707,0.431,0.506,0.990,0.003
"It must be sewn on, she said, just a little patronisingly.",0.383,0.541,0.491,0.806,0.324,0.384
You're dreadfully ignorant.,0.071,0.450,0.005,0.251,0.009,0.152
"No, I'm not.",0.242,0.643,0.061,0.730,0.105,0.263
But she was exulting in his ignorance.,0.602,0.918,0.845,0.362,0.937,0.193
"I shall sew it on for you, my little man, she said, though he was tall as herself, and she got out her housewife, and sewed the shadow on to Peter's foot.",0.177,0.521,0.829,0.982,0.478,0.261
"I daresay it will hurt a little, she warned him.",0.108,0.894,0.716,0.205,0.046,0.401
"Oh, I shan't cry, said Peter, who was already of the opinion that he had never cried in his life.",0.301,0.325,0.938,0.121,0.896,0.349
"And he clenched his teeth and did not cry, and soon his shadow was behaving properly, though still a little creased.",0.851,0.926,0.954,0.925,0.802,0.152
"Perhaps I should have ironed it, Wendy said thoughtfully, but Peter, boylike, was indifferent to appearances, and he was now jumping about in the wildest glee.",0.347,0.068,0.524,0.790,0.939,0.119
"Alas, he had already forgotten that he owed his bliss to Wendy.",0.037,0.810,0.026,0.047,0.048,0.435
He thought he had attached the shadow himself.,0.244,0.630,0.869,0.497,0.241,0.360
How clever I am!,0.895,0.516,0.623,0.490,0.056,0.185
"he crowed rapturously, oh, the cleverness of me!",0.340,0.801,0.060,0.775,0.046,0.167
It is humiliating to have to confess that this conceit of Peter was one of his most fascinating qualities.,0.194,0.154,0.980,0.680,0.808,0.173
"To put it with brutal frankness, there never was a cockier boy.",0.382,0.249,0.832,0.260,0.955,0.232
But for the moment Wendy was shocked.,0.075,0.191,0.981,0.396,0.884,0.122
"You conceit, she exclaimed, with frightful sarcasm; of course I did nothing!",0.101,0.445,0.561,0.701,0.949,0.294
"You did a little, Peter said carelessly, and continued to dance.",0.653,0.205,0.641,0.748,0.468,0.471
"she replied with hauteur; if I am no use I can at least withdraw, and she sprang in the most dignified way into bed and covered her face with the blankets.",0.956,0.924,0.852,0.755,0.989,0.035
"To induce her to look up he pretended to be going away, and when this failed he sat on the end of the bed and tapped her gently with his foot.",0.181,0.514,0.901,0.913,0.635,0.100
"Wendy, he said, don't withdraw.",0.880,0.820,0.004,0.672,0.044,0.309
"I can't help crowing, Wendy, when I'm pleased with myself.",0.133,0.568,0.909,0.244,0.507,0.401
"Still she would not look up, though she was listening eagerly.",0.478,0.058,0.582,0.052,0.943,0.065
"Wendy, he continued, in a voice that no woman has ever yet been able to resist, Wendy, one girl is more use than twenty boys.",0.635,0.956,0.047,0.121,0.234,0.137
"Now Wendy was every inch a woman, though there were not very many inches, and she peeped out of the bed-clothes.",0.275,0.933,0.945,0.530,0.892,0.084
"Do you really think so, Peter?",0.494,0.214,0.811,0.036,0.532,0.092
"Yes, I do.",0.532,0.198,0.436,0.302,0.221,0.035
"I think it's perfectly sweet of you, she declared, and I'll get up again, and she sat with him on the side of the bed.",0.178,0.471,0.501,0.194,0.339,0.074
"She also said she would give him a kiss if he liked, but Peter did not know what she meant, and he held out his hand expectantly.",0.562,0.801,0.242,0.206,0.610,0.349
Surely you know what a kiss is?,0.417,0.608,0.336,0.959,0.890,0.319
"she asked, aghast.",0.269,0.517,0.240,0.220,0.014,0.038
"I shall know when you give it to me, he replied stiffly, and not to hurt his feeling she gave him a thimble.",0.289,0.633,0.497,0.263,0.241,0.377
"Now, said he, shall I give you a kiss?",0.484,0.748,0.493,0.255,0.740,0.170
"and she replied with a slight primness, If you please.",0.299,0.660,0.302,0.180,0.505,0.108
"She made herself rather cheap by inclining her face toward him, but he merely dropped an acorn button into her hand, so she slowly returned her face to where it had been before, and said nicely that she would wear his kiss on the chain around her neck.",0.329,0.384,0.934,0.937,0.294,0.341
"It was lucky that she did put it on that chain, for it was afterwards to save her life.",0.046,0.441,0.956,0.735,0.975,0.109
"When people in our set are introduced, it is customary for them to ask each other's age, and so Wendy, who always liked to do the correct thing, asked Peter how old he was.",0.877,0.072,0.750,0.774,0.912,0.047
"It was not really a happy question to ask him; it was like an examination paper that asks grammar, when what you want to be asked is Kings of England.",0.001,0.782,0.723,0.952,0.989,0.225
"I don't know, he replied uneasily, but I am quite young.",0.666,0.618,0.461,0.135,0.035,0.499
"He really knew nothing about it, he had merely suspicions, but he said at a venture, Wendy, I ran away the day I was born.",0.677,0.111,0.572,0.704,0.963,0.048
"Wendy was quite surprised, but interested; and she indicated in the charming drawing-room manner, by a touch on her night-gown, that he could sit nearer her.",0.580,0.745,0.582,0.813,0.821,0.043
"It was because I heard father and mother, he explained in a low voice, talking about what I was to be when I became a man.",0.706,0.094,0.304,0.655,0.962,0.386
He was extraordinarily agitated now.,0.035,0.263,0.901,0.197,0.919,0.087
"I don't want ever to be a man, he said with passion.",0.515,0.101,0.036,0.454,0.025,0.495
I want always to be a little boy and to have fun.,0.362,0.259,0.645,0.614,0.014,0.595
So I ran away to Kensington Gardens and lived a long long time among the fairies.,0.905,0.566,0.386,0.678,0.375,0.321
"She gave him a look of the most intense admiration, and he thought it was because he had run away, but it was really because he knew fairies.",0.257,0.417,0.857,0.958,0.936,0.168
Wendy had lived such a home life that to know fairies struck her as quite delightful.,0.344,0.603,0.723,0.414,0.324,0.342
"She poured out questions about them, to his surprise, for they were rather a nuisance to him, getting in his way and so on, and indeed he sometimes had to give them a hiding.",0.130,0.933,0.868,0.913,0.929,0.118
"Still, he liked them on the whole, and he told her about the beginning of fairies.",0.568,0.872,0.083,0.925,0.087,0.052
"You see, Wendy, when the first baby laughed for the first time, its laugh broke into a thousand pieces, and they all went skipping about, and that was the beginning of fairies.",0.618,0.730,0.381,0.964,0.589,0.060
"Tedious talk this, but being a stay-at-home she liked it.",0.216,0.731,0.261,0.360,0.995,0.009
"And so, he went on good-naturedly, there ought to be one fairy for every boy and girl.",0.097,0.889,0.960,0.436,0.391,0.212
Ought to be?,0.292,0.699,0.075,0.273,0.077,0.522
"You see children know such a lot now, they soon don't believe in fairies, and every time a child says, â€˜I don't believe in fairies,' there is a fairy somewhere that falls down dead.",0.003,0.831,0.024,0.973,0.554,0.244
"Really, he thought they had now talked enough about fairies, and it struck him that Tinker Bell was keeping very quiet.",0.376,0.341,0.816,0.458,0.944,0.220
"I can't think where she has gone to, he said, rising, and he called Tink by name.",0.106,0.809,0.286,0.601,0.707,0.074
Wendy's heart went flutter with a sudden thrill.,0.739,0.724,0.446,0.473,0.619,0.569
"Peter, she cried, clutching him, you don't mean to tell me that there is a fairy in this room!",0.427,0.653,0.722,0.774,0.498,0.148
"She was here just now, he said a little impatiently.",0.377,0.739,0.505,0.512,0.728,0.146
"You don't hear her, do you?",0.182,0.347,0.110,0.597,0.149,0.034
and they both listened.,0.049,0.493,0.471,0.522,0.405,0.104
"The only sound I hear, said Wendy, is like a tinkle of bells.",0.341,0.225,0.081,0.848,0.639,0.270
"Well, that's Tink, that's the fairy language.",0.033,0.972,0.922,0.686,0.048,0.742
I think I hear her too.,0.189,0.269,0.325,0.583,0.228,0.187
"The sound came from the chest of drawers, and Peter made a merry face.",0.208,0.624,0.685,0.386,0.173,0.586
"No one could ever look quite so merry as Peter, and the loveliest of gurgles was his laugh.",0.400,0.480,0.810,0.759,0.464,0.249
He had his first laugh still.,0.666,0.822,0.173,0.134,0.030,0.265
"Wendy, he whispered gleefully, I do believe I shut her up in the drawer!",0.792,0.588,0.072,0.928,0.305,0.088
"He let poor Tink out of the drawer, and she flew about the nursery screaming with fury.",0.490,0.063,0.163,0.949,0.132,0.113
"You shouldn't say such things, Peter retorted.",0.827,0.426,0.386,0.328,0.452,0.552
"Of course I'm very sorry, but how could I know you were in the drawer?",0.155,0.430,0.065,0.497,0.859,0.256
Wendy was not listening to him.,0.077,0.892,0.843,0.100,0.896,0.130
"O Peter, she cried, if she would only stand still and let me see her!",0.702,0.380,0.089,0.172,0.200,0.136
"They hardly ever stand still, he said, but for one moment Wendy saw the romantic figure come to rest on the cuckoo clock.",0.307,0.313,0.111,0.631,0.055,0.092
O the lovely!,0.485,0.302,0.497,0.057,0.009,0.733
"she cried, though Tink's face was still distorted with passion.",0.492,0.520,0.517,0.041,0.962,0.216
"Tink, said Peter amiably, this lady says she wishes you were her fairy.",0.440,0.753,0.445,0.503,0.966,0.196
Tinker Bell answered insolently.,0.585,0.277,0.316,0.728,0.486,0.584
"What does she say, Peter?",0.303,0.131,0.506,0.350,0.753,0.414
He had to translate.,0.593,0.101,0.091,0.267,0.061,0.264
She is not very polite.,0.140,0.678,0.031,0.663,0.218,0.182
"She says you are a great ugly girl, and that she is my fairy.",0.384,0.980,0.682,0.915,0.855,0.116
He tried to argue with Tink.,0.758,0.760,0.302,0.395,0.147,0.194
"You know you can't be my fairy, Tink, because I am an gentleman and you are a lady.",0.814,0.922,0.878,0.706,0.609,0.225
"To this Tink replied in these words, You silly ass, and disappeared into the bathroom.",0.068,0.962,0.431,0.873,0.607,0.740
"She is quite a common fairy, Peter explained apologetically, she is called Tinker Bell because she mends the pots and kettles.",0.066,0.766,0.782,0.830,0.495,0.154
"They were together in the armchair by this time, and Wendy plied him with more questions.",0.221,0.475,0.293,0.759,0.963,0.054
If you don't live in Kensington Gardens now,0.161,0.802,0.050,0.445,0.523,0.463
Sometimes I do still.,0.158,0.379,0.265,0.150,0.803,0.088
But where do you live mostly now?,0.163,0.830,0.532,0.159,0.761,0.022
With the lost boys.,0.597,0.222,0.018,0.001,0.040,0.276
Who are they?,0.504,0.023,0.501,0.340,0.759,0.176
They are the children who fall out of their perambulators when the nurse is looking the other way.,0.425,0.263,0.597,0.940,0.554,0.078
If they are not claimed in seven days they are sent far away to the Neverland to defray expenses.,0.204,0.318,0.696,0.666,0.976,0.072
What fun it must be!,0.448,0.379,0.700,0.165,0.890,0.300
"Yes, said cunning Peter, but we are rather lonely.",0.691,0.965,0.461,0.408,0.887,0.243
You see we have no female companionship.,0.458,0.664,0.666,0.652,0.036,0.355
Are none of the others girls?,0.882,0.345,0.027,0.536,0.938,0.628
"Oh, no; girls, you know, are much too clever to fall out of their prams.",0.442,0.358,0.037,0.229,0.262,0.106
This flattered Wendy immensely.,0.494,0.416,0.103,0.877,0.127,0.352
"I think, she said, it is perfectly lovely the way you talk about girls; John there just despises us.",0.493,0.817,0.593,0.587,0.928,0.090
"For reply Peter rose and kicked John out of bed, blankets and all; one kick.",0.273,0.146,0.732,0.880,0.322,0.471
"This seemed to Wendy rather forward for a first meeting, and she told him with spirit that he was not captain in her house.",0.229,0.838,0.530,0.864,0.840,0.064
"However, John continued to sleep so placidly on the floor that she allowed him to remain there.",0.683,0.727,0.642,0.566,0.649,0.123
"And I know you meant to be kind, she said, relenting, so you may give me a kiss.",0.106,0.447,0.284,0.395,0.081,0.560
For the moment she had forgotten his ignorance about kisses.,0.617,0.927,0.630,0.375,0.037,0.109
"I thought you would want it back, he said a little bitterly, and offered to return her the thimble.",0.524,0.445,0.778,0.872,0.239,0.251
"Oh dear, said the nice Wendy, I don't mean a kiss, I mean a thimble.",0.150,0.717,0.040,0.605,0.100,0.348
It's like this.,0.391,0.221,0.701,0.779,0.978,0.264
She kissed him.,0.075,0.193,0.191,0.249,0.101,0.246
Funny! said Peter gravely.,0.781,0.108,0.450,0.065,0.040,0.452
Now shall I give you a thimble?,0.578,0.862,0.424,0.514,0.875,0.187
"If you wish to, said Wendy, keeping her head erect this time.",0.400,0.476,0.220,0.054,0.320,0.225
"Peter thimbled her, and almost immediately she screeched.",0.399,0.278,0.683,0.517,0.413,0.199
"What is it, Wendy?",0.270,0.649,0.289,0.738,0.793,0.123
It was exactly as if someone were pulling my hair.,0.170,0.103,0.952,0.193,0.989,0.118
That must have been Tink.,0.723,0.777,0.432,0.529,0.317,0.454
I never knew her so naughty before.,0.507,0.479,0.803,0.212,0.051,0.432
"And indeed Tink was darting about again, using offensive language.",0.470,0.051,0.935,0.944,0.710,0.056
"She says she will do that to you, Wendy, every time I give you a thimble.",0.363,0.761,0.228,0.378,0.442,0.080
"Again Tink replied, You silly ass.",0.706,0.953,0.409,0.844,0.684,0.442
"Peter could not understand why, but Wendy understood, and she was just slightly disappointed when he admitted that he came to the nursery window not to see her but to listen to stories.",0.198,0.301,0.758,0.752,0.570,0.383
"You see, I don't know any stories.",0.691,0.168,0.020,0.369,0.042,0.397
None of the lost boys knows any stories.,0.900,0.023,0.008,0.037,0.618,0.310
"How perfectly awful, Wendy said.",0.937,0.436,0.175,0.078,0.013,0.318
"Do you know, Peter asked why swallows build in the eaves of houses?",0.150,0.181,0.949,0.236,0.428,0.293
It is to listen to the stories.,0.188,0.091,0.678,0.661,0.070,0.550
"O Wendy, your mother was telling you such a lovely story.",0.501,0.458,0.621,0.109,0.705,0.216
Which story was it?,0.125,0.140,0.723,0.707,0.955,0.202
About the prince who couldn't find the lady who wore the glass slipper.,0.452,0.025,0.694,0.801,0.516,0.564
"Peter, said Wendy excitedly, that was Cinderella, and he found her, and they lived happily ever after.",0.863,0.075,0.043,0.067,0.884,0.323
"Peter was so glad that he rose from the floor, where they had been sitting, and hurried to the window.",0.683,0.101,0.839,0.205,0.625,0.387
Where are you going?,0.458,0.701,0.155,0.428,0.915,0.046
she cried with misgiving.,0.112,0.336,0.059,0.075,0.140,0.082
To tell the other boys.,0.365,0.486,0.142,0.001,0.013,0.491
"Don't go Peter, she entreated, I know such lots of stories.",0.199,0.016,0.117,0.183,0.185,0.477
"Those were her precise words, so there can be no denying that it was she who first tempted him.",0.185,0.434,0.164,0.513,0.951,0.139
"He came back, and there was a greedy look in his eyes now which ought to have alarmed her, but did not.",0.304,0.819,0.901,0.908,0.900,0.419
"Oh, the stories I could tell to the boys!",0.181,0.523,0.153,0.002,0.042,0.292
"she cried, and then Peter gripped her and began to draw her toward the window.",0.875,0.590,0.134,0.222,0.715,0.390
Let me go!,0.677,0.262,0.022,0.704,0.132,0.512
she ordered him.,0.088,0.482,0.349,0.041,0.145,0.020
"Wendy, do come with me and tell the other boys.",0.295,0.884,0.219,0.003,0.019,0.079
"Of course she was very pleased to be asked, but she said, Oh dear, I can't.",0.064,0.688,0.957,0.112,0.866,0.145
Think of mummy!,0.291,0.127,0.800,0.663,0.043,0.214
"Besides, I can't fly.",0.182,0.662,0.273,0.773,0.054,0.235
I'll teach you.,0.659,0.083,0.088,0.071,0.054,0.551
"Oh, how lovely to fly.",0.705,0.718,0.241,0.083,0.011,0.393
"I'll teach you how to jump on the wind's back, and then away we go.",0.671,0.979,0.092,0.101,0.175,0.577
she exclaimed rapturously.,0.081,0.409,0.052,0.065,0.027,0.073
"Wendy, Wendy, when you are sleeping in your silly bed you might be flying about with me saying funny things to the stars.",0.295,0.872,0.423,0.514,0.599,0.166
"And, Wendy, there are mermaids.",0.853,0.954,0.023,0.423,0.884,0.130
Such long tails.,0.521,0.176,0.069,0.667,0.010,0.149
"Oh, cried Wendy, to see a mermaid!",0.835,0.612,0.017,0.061,0.059,0.164
He had become frightfully cunning.,0.897,0.345,0.143,0.814,0.030,0.401
", he said, how we should all respect you.",0.898,0.945,0.617,0.272,0.070,0.119
She was wriggling her body in distress.,0.215,0.779,0.739,0.193,0.939,0.069
It was quite as if she were trying to remain on the nursery floor.,0.974,0.758,0.754,0.376,0.925,0.081
But he had no pity for her.,0.421,0.877,0.661,0.707,0.054,0.181
"Wendy, he said, the sly one, you could tuck us in at night.",0.710,0.532,0.212,0.716,0.998,0.007
None of us has ever been tucked in at night.,0.967,0.254,0.003,0.565,0.997,0.009
"Oo, and her arms went out to him.",0.068,0.625,0.423,0.169,0.131,0.353
"And you could darn our clothes, and make pockets for us.",0.360,0.949,0.843,0.832,0.655,0.046
None of us has any pockets.,0.977,0.305,0.516,0.448,0.978,0.128
How could she resist.,0.223,0.626,0.607,0.542,0.041,0.227
Of course it's awfully fascinating!,0.815,0.081,0.118,0.569,0.181,0.312
"Peter, would you teach John and Michael to fly too?",0.153,0.131,0.715,0.163,0.098,0.372
"If you like, he said indifferently, and she ran to John and Michael and shook them.",0.552,0.230,0.232,0.363,0.625,0.302
"Wake up, she cried, Peter Pan has come and he is to teach us to fly.",0.702,0.276,0.804,0.548,0.554,0.102
John rubbed his eyes.,0.341,0.710,0.898,0.288,0.015,0.782
"Then I shall get up, he said.",0.859,0.315,0.345,0.345,0.306,0.037
Of course he was on the floor already.,0.038,0.191,0.759,0.223,0.858,0.216
"Hallo, he said, I am up!",0.465,0.648,0.213,0.913,0.436,0.229
"Michael was up by this time also, looking as sharp as a knife with six blades and a saw, but Peter suddenly signed silence.",0.319,0.050,0.624,0.439,0.614,0.202
Their faces assumed the awful craftiness of children listening for sounds from the grown-up world.,0.962,0.036,0.563,0.214,0.168,0.137
All was as still as salt.,0.122,0.066,0.569,0.520,0.817,0.474
Then everything was right.,0.197,0.596,0.948,0.453,0.908,0.027
Everything was wrong.,0.002,0.375,0.868,0.467,0.978,0.064
"Nana, who had been barking distressfully all the evening, was quiet now.",0.838,0.138,0.966,0.098,0.958,0.200
It was her silence they had heard.,0.716,0.072,0.876,0.403,0.822,0.412
Out with the light!,0.926,0.074,0.274,0.232,0.066,0.570
"Quick! cried John, taking command for the only time throughout the whole adventure.",0.085,0.951,0.739,0.023,0.045,0.289
"And thus when Liza entered, holding Nana, the nursery seemed quite its old self, very dark, and you would have sworn you heard its three wicked inmates breathing angelically as they slept.",0.160,0.511,0.943,0.859,0.241,0.227
They were really doing it artfully from behind the window curtains.,0.006,0.253,0.029,0.895,0.945,0.624
"Liza was in a bad temper, for she was mixing the Christmas puddings in the kitchen, and had been drawn from them, with a raisin still on her cheek, by Nana's absurd suspicions.",0.443,0.448,0.578,0.913,0.967,0.232
"She thought the best way of getting a little quiet was to take Nana to the nursery for a moment, but in custody of course.",0.710,0.803,0.649,0.411,0.784,0.048
"There, you suspicious brute, she said, not sorry that Nana was in disgrace.",0.629,0.831,0.859,0.187,0.933,0.214
"They are perfectly safe, aren't they?",0.099,0.065,0.500,0.123,0.941,0.033
Every one of the little angels sound asleep in bed.,0.463,0.400,0.971,0.784,0.027,0.484
Listen to their gentle breathing.,0.671,0.339,0.910,0.869,0.084,0.592
"Here Michael, encouraged by his success, breathed so loudly that they were nearly detected.",0.513,0.777,0.179,0.530,0.797,0.034
"Nana knew that kind of breathing, and she tried to drag herself out of Liza's clutches.",0.421,0.658,0.881,0.925,0.137,0.453
But Liza was dense.,0.412,0.097,0.976,0.802,0.984,0.174
"No more of it, Nana, she said sternly, pulling her out of the room.",0.572,0.363,0.107,0.526,0.522,0.106
"I warn you if you bark again I shall go straight for master and missus and bring them home from the party, and then, oh, won't master whip you, just.",0.503,0.128,0.373,0.635,0.243,0.186
"She tied the unhappy dog up again, but do you think Nana ceased to bark?",0.075,0.577,0.922,0.698,0.930,0.042
Bring master and missus home from the party!,0.969,0.174,0.108,0.831,0.167,0.753
"Why, that was just what she wanted.",0.396,0.192,0.895,0.416,0.951,0.090
Do you think she cared whether she was whipped so long as her charges were safe?,0.139,0.119,0.945,0.095,0.968,0.026
"Unfortunately Liza returned to her puddings, and Nana, seeing that no help would come from her, strained and strained at the chain until at last she broke it.",0.766,0.790,0.589,0.947,0.997,0.008
"In another moment she had burst into the dining-room of 27 and flung up her paws to heaven, her most expressive way of making a communication.",0.466,0.370,0.679,0.602,0.302,0.264
"Mr. and Mrs. Darling knew at once that something terrible was happening in their nursery, and without a good-bye to their hostess they rushed into the street.",0.600,0.510,0.164,0.934,0.968,0.021
"But it was now ten minutes since three scoundrels had been breathing behind the curtains, and Peter Pan can do a great deal in ten minutes.",0.790,0.336,0.936,0.815,0.811,0.070
We now return to the nursery.,0.187,0.966,0.168,0.432,0.491,0.149
"It's all right, John announced, emerging from his hiding-place.",0.438,0.461,0.791,0.136,0.313,0.666
"I say, Peter, can you really fly?",0.626,0.398,0.354,0.466,0.194,0.444
"Instead of troubling to answer him Peter flew around the room, taking the mantelpiece on the way.",0.766,0.192,0.852,0.349,0.756,0.318
How topping! said John and Michael.,0.800,0.664,0.032,0.278,0.220,0.362
How sweet! cried Wendy.,0.834,0.830,0.083,0.218,0.077,0.254
"Yes, I'm sweet,",0.471,0.303,0.433,0.496,0.815,0.606
"oh, I am sweet! said Peter, forgetting his manners again.",0.740,0.623,0.616,0.071,0.480,0.390
"It looked delightfully easy, and they tried it first from the floor and then from the beds, but they always went down instead of up.",0.813,0.342,0.239,0.804,0.483,0.050
"I say, how do you do it? asked John, rubbing his knee.",0.530,0.588,0.384,0.342,0.309,0.097
He was quite a practical boy.,0.270,0.065,0.916,0.182,0.698,0.118
"You just think lovely wonderful thoughts, Peter explained, and they lift you up in the air.",0.831,0.232,0.878,0.119,0.561,0.383
He showed them again.,0.321,0.283,0.130,0.597,0.264,0.078
"You're so nippy at it, John said, couldn't you do it very slowly once?",0.206,0.469,0.359,0.297,0.978,0.031
Peter did it both slowly and quickly.,0.390,0.236,0.836,0.384,0.672,0.215
"I've got it now, Wendy! cried John, but soon he found he had not.",0.759,0.229,0.953,0.540,0.106,0.185
"Not one of them could fly an inch, though even Michael was in words of two syllables, and Peter did not know A from Z.",0.305,0.438,0.963,0.936,0.935,0.354
"Of course Peter had been trifling with them, for no one can fly unless the fairy dust has been blown on him.",0.239,0.413,0.836,0.215,0.274,0.169
"Fortunately, as we have mentioned, one of his hands was messy with it, and he blew some on each of them, with the most superb results.",0.026,0.658,0.957,0.153,0.766,0.068
"Now just wiggle your shoulders this way, he said, and let go.",0.676,0.186,0.032,0.495,0.848,0.225
"They were all on their beds, and gallant Michael let go first.",0.628,0.377,0.024,0.648,0.978,0.071
"He did not quite mean to let go, but he did it, and immediately he was borne across the room.",0.356,0.193,0.768,0.822,0.968,0.164
he screamed while still in mid-air.,0.328,0.725,0.201,0.030,0.295,0.541
John let go and met Wendy near the bathroom.,0.760,0.965,0.016,0.499,0.435,0.557
Look at me!,0.401,0.225,0.765,0.780,0.997,0.006
Look at me!,0.401,0.225,0.765,0.780,0.997,0.006
Look at me!,0.401,0.225,0.765,0.780,0.997,0.006
"They were not nearly so elegant as Peter, they could not help kicking a little, but their heads were bobbing against the ceiling, and there is almost nothing so delicious as that.",0.059,0.850,0.293,0.915,0.887,0.096
"Peter gave Wendy a hand at first, but had to desist, Tink was so indignant.",0.478,0.657,0.800,0.293,0.982,0.043
"Up and down they went, and round and round.",0.561,0.632,0.017,0.477,0.600,0.132
Heavenly was Wendy's word.,0.658,0.237,0.735,0.374,0.958,0.405
"I say, cried John, why shouldn't we all go out?",0.684,0.877,0.182,0.495,0.546,0.712
Of course it was to this that Peter had been luring them.,0.906,0.017,0.844,0.090,0.914,0.472
Michael was ready: he wanted to see how long it took him to do a billion miles.,0.177,0.145,0.902,0.210,0.947,0.069
But Wendy hesitated.,0.129,0.622,0.040,0.671,0.024,0.171
Mermaids! said Peter again.,0.907,0.325,0.404,0.076,0.367,0.368
And there are pirates.,0.934,0.938,0.019,0.650,0.926,0.090
"Pirates, cried John, seizing his Sunday hat, let us go at once.",0.385,0.581,0.002,0.854,0.998,0.007
It was just at this moment that Mr. and Mrs. Darling hurried with Nana out of 27.,0.810,0.475,0.770,0.192,0.996,0.026
"They ran into the middle of the street to look up at the nursery window; and, yes, it was still shut, but the room was ablaze with light, and most heart-gripping sight of all, they could see in shadow on the curtain three little figures in night attire circling round and round, not on the",0.336,0.719,0.755,0.944,0.906,0.326
floor but in the air.,0.839,0.454,0.402,0.551,0.478,0.767
"Not three figures, four!",0.573,0.002,0.825,0.482,0.017,0.440
In a tremble they opened the street door.,0.585,0.088,0.394,0.871,0.501,0.350
"Mr. Darling would have rushed upstairs, but Mrs. Darling signed him to go softly.",0.369,0.244,0.625,0.239,0.918,0.402
She even tried to make her heart go softly.,0.498,0.839,0.725,0.264,0.384,0.230
Will they reach the nursery in time?,0.271,0.479,0.480,0.654,0.898,0.137
"If so, how delightful for them, and we shall all breathe a sigh of relief, but there will be no story.",0.274,0.942,0.514,0.482,0.553,0.128
