text,joy,sadness,anger,fear
"""You were always a good friend to me,"" said Scrooge.",0.531,0.805,0.205,0.329
"""You will be haunted,"" resumed the Ghost, ""by Three Spirits.""",0.115,0.037,0.785,0.232
Scrooge's countenance fell almost as low as the Ghost's had done.,0.748,0.154,0.462,0.430
"""Is that the chance and hope you mentioned, Jacob?""",0.092,0.021,0.082,0.490
he demanded in a faltering voice.,0.164,0.047,0.001,0.439
"""I--I think I'd rather not,"" said Scrooge.",0.162,0.864,0.300,0.393
"Expect the first to-morrow when the bell tolls One.""  ""Couldn't I take 'em all at once, and have it over, Jacob?"" hinted Scrooge.",0.453,0.011,0.693,0.074
"""Expect the second on the next night at the same hour.",0.510,0.225,0.287,0.017
"The third, upon the next night when the last stroke of Twelve has ceased to vibrate.",0.954,0.878,0.048,0.374
"When it had said these words, the spectre took its wrapper from the table, and bound it round its head as before.",0.598,0.484,0.085,0.433
Scrooge knew this by the smart sound its teeth made when the jaws were brought together by the bandage.,0.135,0.452,0.636,0.315
"He ventured to raise his eyes again, and found his supernatural visitor confronting him in an erect attitude, with its chain wound over and about its arm.",0.686,0.542,0.039,0.529
"The apparition walked backward from him; and, at every step it took, the window raised itself a little, so that, when the spectre reached it, it was wide open.",0.808,0.188,0.900,0.157
"When they were within two paces of each other, Marley's Ghost held up its hand, warning him to come no nearer.",0.545,0.894,0.855,0.124
"Not so much in obedience as in surprise and fear; for, on the raising of the hand, he became sensible of confused noises in the air; incoherent sounds of lamentation and regret; wailings inexpressibly sorrowful and self-accusatory.",0.689,0.924,0.502,0.306
"The spectre, after listening for a moment, joined in the mournful dirge; and floated out upon the bleak, dark night.",0.959,0.644,0.325,0.275
"The air was filled with phantoms, wandering hither and thither in restless haste, and moaning as they went.",0.913,0.707,0.642,0.440
Every one of them wore chains like Marley's Ghost; some few (they might be guilty governments) were linked together; none were free.,0.121,0.064,0.940,0.151
"He had been quite familiar with one old ghost in a white waistcoat, with a monstrous iron safe attached to its ankle, who cried piteously at being unable to assist a wretched woman with an infant, whom it saw below upon a doorstep.",0.216,0.095,0.364,0.063
"The misery with them all was, clearly, that they sought to interfere, for good, in human matters, and had lost the power for ever.",0.308,0.629,0.005,0.580
"Whether these creatures faded into mist, or mist enshrouded them, he could not tell.",0.437,0.660,0.710,0.510
But they and their spirit voices faded together; and the night became as it had been when he walked home.,0.401,0.047,0.275,0.353
"Scrooge closed the window, and examined the door by which the Ghost had entered.",0.817,0.702,0.245,0.593
"And being, from the emotion he had undergone, or the fatigues of the day, or his glimpse of the Invisible World, or the dull conversation of the Ghost, or the lateness of the hour, much in need of repose, went straight to bed without undressing, and fell asleep upon the instant.",0.344,0.857,0.986,0.157
"THE FIRST OF THE THREE SPIRITS   When Scrooge awoke it was so dark, that, looking out of bed, he could scarcely distinguish the transparent window from the opaque walls of his chamber.",0.102,0.312,0.766,0.235
"He was endeavouring to pierce the darkness with his ferret eyes, when the chimes of a neighbouring church struck the four quarters.",0.085,0.162,0.979,0.421
"To his great astonishment, the heavy bell went on from six to seven, and from seven to eight, and regularly up to twelve; then stopped.",0.698,0.774,0.974,0.287
It was past two when he went to bed.,0.640,0.631,0.487,0.050
An icicle must have got into the works.,0.693,0.326,0.403,0.227
"He touched the spring of his repeater, to correct this most preposterous clock.",0.250,0.859,0.929,0.124
"Its rapid little pulse beat twelve, and stopped.",0.255,0.785,0.586,0.317
"""Why, it isn't possible,"" said Scrooge, ""that I can have slept through a whole day and far into another night.",0.408,0.639,0.221,0.299
"The idea being an alarming one, he scrambled out of bed, and groped his way to the window.",0.279,0.526,0.445,0.444
He was obliged to rub the frost off with the sleeve of his dressing-gown before he could see anything; and could see very little then.,0.587,0.677,0.772,0.172
"All he could make out was, that it was still very foggy and extremely cold, and that there was no noise of people running to and fro, and making a great stir, as there unquestionably would have been if night had beaten off bright day, and taken possession of the world.",0.221,0.273,0.906,0.287
"This was a great relief, because ""Three days after sight of this First of Exchange pay to Mr. Ebenezer Scrooge or his order,"" and so forth, would have become a mere United States security if there were no days to count by.",0.305,0.688,0.124,0.294
"Scrooge went to bed again, and thought, and thought, and thought it over and over, and could make nothing of it.",0.049,0.746,0.616,0.351
"Every time he resolved within himself, after mature inquiry, that it was all a dream, his mind flew back again, like a strong spring released, to its first position, and presented the same problem to be worked all through, ""Was it a dream or not?""",0.107,0.419,0.986,0.219
"Scrooge lay in this state until the chime had gone three quarters more, when he remembered, on a sudden, that the Ghost had warned him of a visitation when the bell tolled one.",0.690,0.854,0.956,0.477
"He resolved to lie awake until the hour was passed; and, considering that he could no more go to sleep than go to Heaven, this was, perhaps, the wisest resolution in his power.",0.515,0.659,0.955,0.101
"The quarter was so long, that he was more than once convinced he must have sunk into a doze unconsciously, and missed the clock.",0.700,0.103,0.980,0.330
"""A quarter past,"" said Scrooge, counting.",0.678,0.384,0.619,0.276
"""The hour itself,"" said Scrooge triumphantly, ""and nothing else!""",0.279,0.587,0.272,0.224
"He spoke before the hour bell sounded, which it now did with a deep, dull, hollow, melancholy ONE.",0.865,0.163,0.543,0.164
"Light flashed up in the room upon the instant, and the curtains of his bed were drawn.",0.763,0.561,0.905,0.219
"The curtains of his bed were drawn aside, I tell you, by a hand.",0.551,0.547,0.434,0.432
"The curtains of his bed were drawn aside; and Scrooge, starting up into a half-recumbent attitude, found himself face to face with the unearthly visitor who drew them: as close to it as I am now to you, and I am standing in the spirit at your elbow.",0.219,0.278,0.970,0.131
"It was a strange figure--like a child: yet not so like a child as like an old man, viewed through some supernatural medium, which gave him the appearance of having receded from the view, and being diminished to a child's proportions.",0.928,0.187,0.891,0.368
"Its hair, which hung about its neck and down its back, was white, as if with age; and yet the face had not a wrinkle in it, and the tenderest bloom was on the skin.",0.148,0.113,0.972,0.242
"The arms were very long and muscular; the hands the same, as if its hold were of uncommon strength.",0.029,0.857,0.875,0.346
"Its legs and feet, most delicately formed, were, like those upper members, bare.",0.213,0.937,0.573,0.220
"It wore a tunic of the purest white; and round its waist was bound a lustrous belt, the sheen of which was beautiful.",0.816,0.980,0.593,0.209
"It held a branch of fresh green holly in its hand: and, in singular contradiction of that wintry emblem, had its dress trimmed with summer flowers.",0.681,0.798,0.986,0.702
"But the strangest thing about it was, that from the crown of its head there sprung a bright clear jet of light, by which all this was visible; and which was doubtless the occasion of its using, in its duller moments, a great extinguisher for a cap, which it now held under its arm.",0.295,0.693,0.733,0.177
"Even this, though, when Scrooge looked at it with increasing steadiness, was _not_ its strangest quality.",0.141,0.839,0.758,0.015
"For, as its belt sparkled and glittered, now in one part and now in another, and what was light one instant at another time was dark, so the figure itself fluctuated in its distinctness: being now a thing with one arm, now with one leg, now with twenty legs, now a pair of legs without a head, now a head without a body: of which dissolving parts no outline would be visible in the dense gloom wherein they melted away.",0.162,0.819,0.712,0.382
"And, in the very wonder of this, it would be itself again; distinct and clear as ever.",0.287,0.748,0.000,0.163
"""Are you the Spirit, sir, whose coming was foretold to me?"" asked Scrooge.",0.122,0.332,0.978,0.044
The voice was soft and gentle.,0.738,0.053,0.592,0.361
"Singularly low, as if, instead of being so close beside him, it were at a distance.",0.026,0.332,0.524,0.008
"""I am the Ghost of Christmas Past.""",0.942,0.544,0.335,0.280
"""Long Past?"" inquired Scrooge; observant of its dwarfish stature.",0.637,0.509,0.476,0.127
"Perhaps Scrooge could not have told anybody why, if anybody could have asked him; but he had a special desire to see the Spirit in his cap; and begged him to be covered.",0.747,0.975,0.771,0.323
"""What!"" exclaimed the Ghost, ""would you so soon put out, with worldly hands, the light I give?",0.529,0.394,0.419,0.248
"Is it not enough that you are one of those whose passions made this cap, and force me through whole trains of years to wear it low upon my brow?""",0.752,0.714,0.785,0.250
"Scrooge reverently disclaimed all intention to offend or any knowledge of having wilfully ""bonneted"" the Spirit at any period of his life.",0.546,0.918,0.563,0.214
He then made bold to inquire what business brought him there.,0.308,0.723,0.072,0.156
"Scrooge expressed himself much obliged, but could not help thinking that a night of unbroken rest would have been more conducive to that end.",0.437,0.782,0.551,0.128
"The Spirit must have heard him thinking, for it said immediately:  ""Your reclamation, then.",0.747,0.560,0.699,0.493
"It put out its strong hand as it spoke, and clasped him gently by the arm.",0.500,0.530,0.469,0.686
"It would have been in vain for Scrooge to plead that the weather and the hour were not adapted to pedestrian purposes; that bed was warm, and the thermometer a long way below freezing; that he was clad but lightly in his slippers, dressing-gown, and nightcap; and that he had a cold upon him at that time.",0.514,0.600,0.973,0.071
"The grasp, though gentle as a woman's hand, was not to be resisted.",0.226,0.677,0.647,0.413
"He rose: but, finding that the Spirit made towards the window, clasped its robe in supplication.",0.436,0.687,0.131,0.401
"""I am a mortal,"" Scrooge remonstrated, ""and liable to fall.""",0.060,0.416,0.708,0.379
"""Bear but a touch of my hand _there_,"" said the Spirit, laying it upon his heart, ""and you shall be upheld in more than this!""",0.658,0.771,0.880,0.286
"As the words were spoken, they passed through the wall, and stood upon an open country road, with fields on either hand.",0.737,0.360,0.291,0.231
"The darkness and the mist had vanished with it, for it was a clear, cold, winter day, with the snow upon the ground.",0.266,0.453,0.826,0.107
"""Good Heaven!"" said Scrooge, clasping his hands together as he looked about him.",0.111,0.758,0.441,0.089
"""I was bred in this place.",0.376,0.578,0.785,0.424
The Spirit gazed upon him mildly.,0.448,0.442,0.753,0.446
"Its gentle touch, though it had been light and instantaneous, appeared still present to the old man's sense of feeling.",0.616,0.744,0.121,0.049
"He was conscious of a thousand odours floating in the air, each one connected with a thousand thoughts, and hopes, and joys, and cares long, long forgotten!",0.589,0.302,0.965,0.136
"""Your lip is trembling,"" said the Ghost. """,0.886,0.861,0.317,0.745
"Scrooge muttered, with an unusual catching in his voice, that it was a pimple; and begged the Ghost to lead him where he would.",0.206,0.949,0.600,0.463
"""You recollect the way?"" inquired the Spirit.",0.388,0.229,0.918,0.664
"""  ""Strange to have forgotten it for so many years!"" observed the Ghost. """,0.022,0.428,0.574,0.353
"[Illustration: _""You recollect the way?"" inquired the spirit.",0.553,0.502,0.973,0.588
"They walked along the road, Scrooge recognising every gate, and post, and tree, until a little market-town appeared in the distance, with its bridge, its church, and winding river.",0.099,0.833,0.614,0.043
"Some shaggy ponies now were seen trotting towards them with boys upon their backs, who called to other boys in country gigs and carts, driven by farmers.",0.157,0.723,0.588,0.347
"All these boys were in great spirits, and shouted to each other, until the broad fields were so full of merry music, that the crisp air laughed to hear it.",0.019,0.297,0.956,0.171
"""These are but shadows of the things that have been,"" said the Ghost.",0.786,0.592,0.287,0.557
"The jocund travellers came on; and as they came, Scrooge knew and named them every one.",0.116,0.241,0.800,0.458
Why was he rejoiced beyond all bounds to see them?,0.108,0.431,0.944,0.385
"Why did his cold eye glisten, and his heart leap up as they went past?",0.517,0.762,0.772,0.068
"Why was he filled with gladness when he heard them give each other Merry Christmas, as they parted at cross-roads and by-ways for their several homes?",0.088,0.077,0.874,0.121
What was merry Christmas to Scrooge?,0.303,0.475,0.929,0.182
What good had it ever done to him?,0.325,0.564,0.355,0.384
"A solitary child, neglected by his friends, is left there still.""",0.482,0.830,0.152,0.156
"They left the high-road by a well-remembered lane, and soon approached a mansion of dull red brick, with a little weather-cock surmounted cupola on the roof and a bell hanging in it.",0.033,0.376,0.101,0.326
"It was a large house, but one of broken fortunes: for the spacious offices were little used, their walls were damp and mossy, their windows broken, and their gates decayed.",0.257,0.414,0.988,0.093
Fowls clucked and strutted in the stables; and the coach-houses and sheds were overrun with grass.,0.462,0.853,0.967,0.252
"Nor was it more retentive of its ancient state within; for, entering the dreary hall, and glancing through the open doors of many rooms, they found them poorly furnished, cold, and vast.",0.828,0.069,0.888,0.407
"There was an earthly savour in the air, a chilly bareness in the place, which associated itself somehow with too much getting up by candle-light, and not too much to eat.",0.882,0.633,0.409,0.242
"They went, the Ghost and Scrooge, across the hall, to a door at the back of the house.",0.706,0.842,0.546,0.021
"It opened before them, and disclosed a long, bare, melancholy room, made barer still by lines of plain deal forms and desks.",0.656,0.481,0.290,0.308
"At one of these a lonely boy was reading near a feeble fire; and Scrooge sat down upon a form, and wept to see his poor forgotten self as he had used to be.",0.260,0.072,0.957,0.056
"Not a latent echo in the house, not a squeak and scuffle from the mice behind the panelling, not a drip from the half-thawed water-spout in the dull yard behind, not a sigh among the leafless boughs of one despondent poplar, not the idle swinging of an empty storehouse door, no, not a clicking in the fire, but fell upon the heart of Scrooge with softening influence, and gave a freer passage to his tears.",0.344,0.774,0.400,0.558
"The Spirit touched him on the arm, and pointed to his younger self, intent upon his reading.",0.690,0.548,0.831,0.302
"Suddenly a man in foreign garments: wonderfully real and distinct to look at: stood outside the window, with an axe stuck in his belt, and leading by the bridle an ass laden with wood.",0.859,0.416,0.070,0.183
"One Christmas-time when yonder solitary child was left here all alone, he _did_ come, for the first time, just like that.",0.553,0.370,0.957,0.038
"And what's his name, who was put down in his drawers, asleep, at the gate of Damascus; don't you see him?",0.756,0.412,0.891,0.028
And the Sultan's Groom turned upside down by the Genii: there he is upon his head!,0.127,0.173,0.191,0.121
"What business had _he_ to be married to the Princess?""",0.242,0.555,0.743,0.291
"To hear Scrooge expending all the earnestness of his nature on such subjects, in a most extraordinary voice between laughing and crying; and to see his heightened and excited face; would have been a surprise to his business friends in the City, indeed.",0.342,0.252,0.384,0.236
"""Green body and yellow tail, with a thing like a lettuce growing out of the top of his head; there he is!",0.137,0.719,0.763,0.115
"Poor Robin Crusoe he called him, when he came home again after sailing round the island. '",0.970,0.104,0.011,0.326
"There goes Friday, running for his life to the little creek!",0.090,0.547,0.692,0.331
"Then, with a rapidity of transition very foreign to his usual character, he said, in pity for his former self, ""Poor boy!"" and cried again.",0.768,0.837,0.742,0.203
"""I wish,"" Scrooge muttered, putting his hand in his pocket, and looking about him, after drying his eyes with his cuff: ""but it's too late now.""",0.360,0.889,0.393,0.620
"""What is the matter?"" asked the Spirit.",0.481,0.737,0.979,0.093
"I should like to have given him something: that's all.""",0.039,0.477,0.831,0.262
"The Ghost smiled thoughtfully, and waved its hand: saying, as it did so, ""Let us see another Christmas!""",0.994,0.621,0.030,0.506
"Scrooge's former self grew larger at the words, and the room became a little darker and more dirty.",0.919,0.673,0.439,0.041
"The panels shrunk, the windows cracked; fragments of plaster fell out of the ceiling, and the naked laths were shown instead; but how all this was brought about Scrooge knew no more than you do.",0.546,0.641,0.823,0.054
"He only knew that it was quite correct: that everything had happened so; that there he was, alone again, when all the other boys had gone home for the jolly holidays.",0.776,0.541,0.795,0.022
"He was not reading now, but walking up and down despairingly.",0.331,0.128,0.955,0.066
"Scrooge looked at the Ghost, and, with a mournful shaking of his head, glanced anxiously towards the door.",0.484,0.688,0.912,0.011
"It opened; and a little girl, much younger than the boy, came darting in, and, putting her arms about his neck, and often kissing him, addressed him as her ""dear, dear brother.""",0.403,0.452,0.754,0.279
"""I have come to bring you home, dear brother!"" said the child, clapping her tiny hands, and bending down to laugh.",0.802,0.433,0.303,0.188
"To bring you home, home, home!""  ""Home, little Fan?"" returned the boy.",0.848,0.709,0.853,0.492
"""Yes!"" said the child, brimful of glee.",0.725,0.158,0.317,0.469
Home for good and all.,0.844,0.428,0.724,0.436
Home for ever and ever.,0.950,0.512,0.003,0.431
"Father is so much kinder than he used to be, that home's like Heaven!",0.043,0.645,0.816,0.150
"He spoke so gently to me one dear night when I was going to bed, that I was not afraid to ask him once more if you might come home; and he said Yes, you should; and sent me in a coach to bring you.",0.388,0.491,0.979,0.113
"And you're to be a man!"" said the child, opening her eyes; ""and are never to come back here; but first we're to be together all the Christmas long, and have the merriest time in all the world.",0.479,0.391,0.553,0.443
"She clapped her hands and laughed, and tried to touch his head; but, being too little, laughed again, and stood on tiptoe to embrace him.",0.226,0.472,0.288,0.071
"A terrible voice in the hall cried, ""Bring down Master Scrooge's box, there!""",0.693,0.127,0.198,0.215
"and in the hall appeared the schoolmaster himself, who glared on Master Scrooge with a ferocious condescension, and threw him into a dreadful state of mind by shaking hands with him.",0.201,0.253,0.758,0.128
"He then conveyed him and his sister into the veriest old well of a shivering best parlour that ever was seen, where the maps upon the wall, and the celestial and terrestrial globes in the windows, were waxy with cold.",0.429,0.687,0.929,0.157
"Here he produced a decanter of curiously light wine, and a block of curiously heavy cake, and administered instalments of those dainties to the young people: at the same time sending out a meagre servant to offer a glass of ""something"" to the postboy who answered that he thanked the gentleman, but, if it was the same tap as he had tasted before, he had rather not.",0.197,0.195,0.850,0.282
"Master Scrooge's trunk being by this time tied on to the top of the chaise, the children bade the schoolmaster good-bye right willingly; and, getting into it, drove gaily down the garden sweep; the quick wheels dashing the hoar frost and snow from off the dark leaves of the evergreens like spray.",0.679,0.472,0.328,0.102
"""Always a delicate creature, whom a breath might have withered,"" said the Ghost. """,0.111,0.091,0.749,0.716
"But she had a large heart!""",0.269,0.262,0.675,0.090
"I will not gainsay it, Spirit.",0.096,0.702,0.941,0.402
"""She died a woman,"" said the Ghost, ""and had, as I think, children.",0.216,0.124,0.177,0.407
"Scrooge seemed uneasy in his mind; and answered briefly, ""Yes.""",0.450,0.921,0.939,0.335
"Although they had but that moment left the school behind them, they were now in the busy thoroughfares of a city, where shadowy passengers passed and repassed; where shadowy carts and coaches battled for the way, and all the strife and tumult of a real city were.",0.110,0.497,0.608,0.216
"It was made plain enough, by the dressing of the shops, that here, too, it was Christmas-time again; but it was evening, and the streets were lighted up.",0.453,0.439,0.958,0.228
"The Ghost stopped at a certain warehouse door, and asked Scrooge if he knew it.",0.126,0.447,0.258,0.027
"At sight of an old gentleman in a Welsh wig, sitting behind such a high desk, that if he had been two inches taller, he must have knocked his head against the ceiling, Scrooge cried in great excitement:  ""Why, it's old Fezziwig!",0.362,0.916,0.633,0.334
"Bless his heart, it's Fezziwig alive again!""",0.846,0.401,0.601,0.079
"He rubbed his hands; adjusted his capacious waistcoat; laughed all over himself, from his shoes to his organ of benevolence; and called out, in a comfortable, oily, rich, fat, jovial voice:",0.654,0.571,0.040,0.233
"Scrooge's former self, now grown a young man, came briskly in, accompanied by his fellow-'prentice.",0.551,0.971,0.577,0.369
"""Dick Wilkins, to be sure!"" said Scrooge to the Ghost. """,0.366,0.400,0.250,0.702
"He was very much attached to me, was Dick.",0.028,0.047,0.486,0.090
"Let's have the shutters up,"" cried old Fezziwig with a sharp clap of his hands, ""before a man can say Jack Robinson!""",0.457,0.671,0.287,0.174
You wouldn't believe how those two fellows went at it!,0.140,0.602,0.447,0.007
"They charged into the street with the shutters--one, two, three--had 'em up in their places--four, five, six--barred 'em and pinned 'em--seven, eight, nine--and came back before you could have got to twelve, panting like race-horses.",0.499,0.378,0.990,0.182
"""Hilli-ho!"" cried old Fezziwig, skipping down from the high desk with wonderful agility. """,0.817,0.659,0.778,0.742
"Clear away, my lads, and let's have lots of room here!",0.389,0.033,0.100,0.122
"There was nothing they wouldn't have cleared away, or couldn't have cleared away, with old Fezziwig looking on.",0.033,0.076,0.963,0.058
"Every movable was packed off, as if it were dismissed from public life for evermore; the floor was swept and watered, the lamps were trimmed, fuel was heaped upon the fire; and the warehouse was as snug, and warm, and dry, and bright a ball-room as you would desire to see upon a winter's night.",0.101,0.731,0.645,0.177
"In came a fiddler with a music-book, and went up to the lofty desk, and made an orchestra of it, and tuned like fifty stomachaches.",0.260,0.286,0.993,0.852
"In came Mrs. Fezziwig, one vast substantial smile.",0.724,0.149,0.916,0.782
"In came the three Miss Fezziwigs, beaming and lovable.",0.185,0.797,0.604,0.786
In came the six young followers whose hearts they broke.,0.237,0.664,0.887,0.602
In came all the young men and women employed in the business.,0.121,0.530,0.705,0.423
"In came the cook, with her brother's particular friend the milkman.",0.850,0.958,0.020,0.466
"In came the boy from over the way, who was suspected of not having board enough from his master; trying to hide himself behind the girl from next door but one, who was proved to have had her ears pulled by her mistress.",0.508,0.127,0.573,0.335
"In they all came, one after another; some shyly, some boldly, some gracefully, some awkwardly, some pushing, some pulling; in they all came, any how and every how.",0.548,0.390,0.497,0.318
"Away they all went, twenty couple at once; hands half round and back again the other way; down the middle and up again; round and round in various stages of affectionate grouping; old top couple always turning up in the wrong place; new top couple starting off again as soon as they got there; all top couples at last, and not a bottom one to help them!",0.221,0.847,0.369,0.044
"When this result was brought about, old Fezziwig, clapping his hands to stop the dance, cried out, ""Well done!"" and the fiddler plunged his hot face into a pot of porter, especially provided for that purpose.",0.733,0.351,0.939,0.355
"But, scorning rest upon his reappearance, he instantly began again, though there were no dancers yet, as if the other fiddler had been carried home, exhausted, on a shutter, and he were a bran-new man resolved to beat him out of sight, or perish.",0.564,0.916,0.924,0.238
"There were more dances, and there were forfeits, and more dances, and there was cake, and there was negus, and there was a great piece of Cold Roast, and there was a great piece of Cold Boiled, and there were mince-pies, and plenty of beer.",0.293,0.264,0.936,0.247
"But the great effect of the evening came after the Roast and Boiled, when the fiddler (an artful dog, mind!",0.166,0.066,0.600,0.151
"The sort of man who knew his business better than you or I could have told it him!) struck up ""Sir Roger de Coverley.""",0.132,0.214,0.808,0.604
Then old Fezziwig stood out to dance with Mrs. Fezziwig.,0.894,0.762,0.214,0.222
"Top couple, too; with a good stiff piece of work cut out for them; three or four and twenty pair of partners; people who were not to be trifled with; people who _would_ dance, and had no notion of walking.",0.054,0.181,0.847,0.399
"But if they had been twice as many--ah! four times--old Fezziwig would have been a match for them, and so would Mrs. Fezziwig.",0.477,0.384,0.786,0.240
"As to _her_, she was worthy to be his partner in every sense of the term.",0.221,0.549,0.927,0.072
"If that's not high praise, tell me higher, and I'll use it.",0.063,0.165,0.655,0.421
A positive light appeared to issue from Fezziwig's calves.,0.907,0.123,0.556,0.346
They shone in every part of the dance like moons.,0.131,0.390,0.920,0.271
"You couldn't have predicted, at any given time, what would become of them next.",0.766,0.150,0.445,0.163
"And when old Fezziwig and Mrs. Fezziwig had gone all through the dance; advance and retire, both hands to your partner, bow and curtsy, cork-screw, thread-the-needle, and back again to your place;",0.933,0.841,0.377,0.330
"Fezziwig ""cut""--cut so deftly, that he appeared to wink with his legs, and came upon his feet again without a stagger.",0.194,0.867,0.842,0.744
"Mr. and Mrs. Fezziwig took their stations, one on either side the door, and, shaking hands with every person individually as he or she went out, wished him or her a Merry Christmas.",0.978,0.664,0.658,0.123
"When everybody had retired but the two 'prentices, they did the same to them; and thus the cheerful voices died away, and the lads were left to their beds; which were under a counter in the back-shop.",0.200,0.720,0.744,0.083
During the whole of this time Scrooge had acted like a man out of his wits.,0.500,0.625,0.945,0.696
"His heart and soul were in the scene, and with his former self.",0.611,0.884,0.548,0.095
"He corroborated everything, remembered everything, enjoyed everything, and underwent the strangest agitation.",0.415,0.680,0.067,0.090
"It was not until now, when the bright faces of his former self and Dick were turned from them, that he remembered the Ghost, and became conscious that it was looking full upon him, while the light upon its head burnt very clear.",0.603,0.639,0.890,0.148
"""A small matter,"" said the Ghost, ""to make these silly folks so full of gratitude.""",0.078,0.677,0.689,0.242
"The Spirit signed to him to listen to the two apprentices, who were pouring out their hearts in praise of Fezziwig; and, when he had done so, said:  """,0.547,0.063,0.987,0.254
"He has spent but a few pounds of your mortal money: three or four, perhaps.",0.103,0.003,0.938,0.267
"""It isn't that,"" said Scrooge, heated by the remark, and speaking unconsciously like his former, not his latter self.",0.363,0.828,0.362,0.444
He has the power to render us happy or unhappy; to make our service light or burdensome; a pleasure or a toil.,0.817,0.105,0.204,0.207
Say that his power lies in words and looks; in things so slight and insignificant that it is impossible to add and count 'em up: what then?,0.733,0.433,0.180,0.449
"The happiness he gives is quite as great as if it cost a fortune.""",0.098,0.604,0.589,0.257
"He felt the Spirit's glance, and stopped.",0.116,0.876,0.501,0.249
"""What is the matter?"" asked the Ghost.",0.531,0.783,0.794,0.199
I should like to be able to say a word or two to my clerk just now.,0.554,0.883,0.927,0.164
His former self turned down the lamps as he gave utterance to the wish; and Scrooge and the Ghost again stood side by side in the open air.,0.149,0.667,0.350,0.338
"""My time grows short,"" observed the Spirit.",0.688,0.199,0.776,0.455
He was older now; a man in the prime of life.,0.069,0.768,0.544,0.226
His face had not the harsh and rigid lines of later years; but it had begun to wear the signs of care and avarice.,0.754,0.817,0.272,0.642
"There was an eager, greedy, restless motion in the eye, which showed the passion that had taken root, and where the shadow of the growing tree would fall.",0.293,0.578,0.939,0.314
"He was not alone, but sat by the side of a fair young girl in a mourning dress: in whose eyes there were tears, which sparkled in the light that shone out of the Ghost of Christmas Past.",0.959,0.549,0.587,0.151
"""It matters little,"" she said softly. """,0.156,0.183,0.176,0.865
"Another idol has displaced me; and, if it can cheer and comfort you in time to come as I would have tried to do, I have no just cause to grieve.",0.401,0.527,0.322,0.146
"""There is nothing on which it is so hard as poverty; and there is nothing it professes to condemn with such severity as the pursuit of wealth!""",0.157,0.304,0.097,0.222
"""You fear the world too much,"" she answered gently.",0.043,0.932,0.374,0.167
"""All your other hopes have merged into the hope of being beyond the chance of its sordid reproach.",0.293,0.652,0.006,0.618
"I have seen your nobler aspirations fall off one by one, until the master passion, Gain, engrosses you.",0.112,0.042,0.580,0.130
"Have I not?""  ""What then?"" he retorted.",0.529,0.595,0.217,0.154
"""Our contract is an old one.",0.703,0.518,0.892,0.639
"It was made when we were both poor, and content to be so, until, in good season, we could improve our worldly fortune by our patient industry.",0.580,0.692,0.989,0.129
"When it was made you were another man.""",0.530,0.237,0.730,0.248
"""Your own feeling tells you that you were not what you are,"" she returned.",0.512,0.501,0.757,0.025
That which promised happiness when we were one in heart is fraught with misery now that we are two.,0.772,0.966,0.911,0.059
"""In what, then?""  ""In a changed nature; in an altered spirit; in another atmosphere of life; another Hope as its great end.",0.325,0.626,0.596,0.324
In everything that made my love of any worth or value in your sight.,0.644,0.631,0.307,0.356
"If this had never been between us,"" said the girl, looking mildly, but with steadiness, upon him, ""tell me, would you seek me out and try to win me now?",0.627,0.948,0.748,0.058
He seemed to yield to the justice of this supposition in spite of himself.,0.669,0.200,0.995,0.205
"""I would gladly think otherwise if I could,"" she answered.",0.024,0.788,0.586,0.134
"When _I_ have learned a Truth like this, I know how strong and irresistible it must be.",0.413,0.626,0.407,0.435
"But if you were free to-day, to-morrow, yesterday, can even I believe that you would choose a dowerless girl--you who, in your very confidence with her, weigh everything by Gain: or, choosing her, if for a moment you were false enough to your one guiding principle to do so, do I not know that your repentance and regret would surely follow?",0.148,0.799,0.670,0.084
"With a full heart, for the love of him you once were.""",0.110,0.157,0.778,0.049
"He was about to speak; but, with her head turned from him, she resumed.",0.060,0.608,0.816,0.064
"""You may--the memory of what is past half makes me hope you will--have pain in this.",0.588,0.109,0.158,0.244
"May you be happy in the life you have chosen!""",0.249,0.083,0.220,0.604
"""Spirit!"" said Scrooge, ""show me no more!",0.239,0.338,0.143,0.544
"Why do you delight to torture me?""",0.038,0.096,0.601,0.125
"""One shadow more!"" exclaimed the Ghost.",0.282,0.314,0.978,0.786
I don't wish to see it.,0.071,0.371,0.088,0.510
"But the relentless Ghost pinioned him in both his arms, and forced him to observe what happened next.",0.632,0.806,0.572,0.112
"They were in another scene and place; a room, not very large or handsome, but full of comfort.",0.239,0.354,0.071,0.271
"Near to the winter fire sat a beautiful young girl, so like that last that Scrooge believed it was the same, until he saw _her_, now a comely matron, sitting opposite her daughter.",0.103,0.704,0.520,0.178
"The noise in this room was perfectly tumultuous, for there were more children there than Scrooge in his agitated state of mind could count; and, unlike the celebrated herd in the poem, they were not forty children conducting themselves like one, but every child was conducting itself like forty.",0.050,0.752,0.994,0.331
"The consequences were uproarious beyond belief; but no one seemed to care; on the contrary, the mother and daughter laughed heartily, and enjoyed it very much; and the latter, soon beginning to mingle in the sports, got pillaged by the young brigands most ruthlessly.",0.072,0.783,0.844,0.071
What would I not have given to be one of them!,0.519,0.609,0.737,0.340
"Though I never could have been so rude, no, no!",0.460,0.640,0.685,0.252
